id,gender,age,type,purpose
3340,Female,45,First-time,Business
3341,Female,52,Returning,Business
3342,Male,47,Returning,Business
3343,Female,42,Returning,Business
3344,Female,34,First-time,Business
3345,Male,38,First-time,Business
3346,Male,21,Returning,Business
3347,Female,47,Returning,Business
3348,Female,50,Returning,Business
3349,Male,24,First-time,Business
3350,Female,56,Returning,Business
3351,Male,36,Returning,Business
3352,Male,57,Returning,Business
3353,Female,60,Returning,Business
3354,Male,41,Returning,Business
3355,Male,27,First-time,Business
3356,Female,25,First-time,Business
3357,Male,38,Returning,Business
3358,Male,25,First-time,Business
3359,Female,38,Returning,Business
3360,Male,44,Returning,Business
3361,Female,34,Returning,Business
3362,Male,47,Returning,Business
3363,Female,33,First-time,Business
3364,Female,48,Returning,Business
3365,Female,58,Returning,Business
3366,Male,35,Returning,Business
3367,Male,39,Returning,Business
3368,Male,37,Returning,Business
3369,Male,46,Returning,Business
3370,Female,35,Returning,Business
3371,Male,56,Returning,Business
3372,Male,40,Returning,Business
3373,Male,39,Returning,Business
3374,Male,36,Returning,Business
3375,Female,44,Returning,Business
3376,Female,22,First-time,Business
3377,Female,30,Returning,Business
3378,Male,35,Returning,Business
3379,Female,24,First-time,Business
3380,Female,18,Returning,Business
3381,Male,35,Returning,Business
3382,Male,34,Returning,Business
3383,Female,56,Returning,Business
3384,Male,41,Returning,Business
3385,Male,50,Returning,Business
3386,Male,24,First-time,Business
3387,Female,21,First-time,Business
3388,Female,21,First-time,Business
3389,Female,37,Returning,Business
3390,Female,59,Returning,Business
3391,Female,55,Returning,Business
3392,Male,57,Returning,Business
3393,Male,26,First-time,Business
3394,Male,20,First-time,Business
3395,Female,57,Returning,Business
3396,Female,68,First-time,Business
3397,Female,58,Returning,Business
3398,Female,47,First-time,Business
3399,Male,53,Returning,Business
3400,Male,26,First-time,Business
3401,Female,21,Returning,Business
3402,Male,47,Returning,Business
3403,Female,23,First-time,Business
3404,Female,55,Returning,Business
3405,Male,30,First-time,Business
3406,Female,18,Returning,Personal
3407,Female,29,Returning,Personal
3408,Male,47,Returning,Personal
3409,Female,23,Returning,Personal
3410,Male,11,Returning,Personal
3411,Male,44,Returning,Personal
3412,Male,40,Returning,Personal
3413,Male,41,Returning,Personal
3414,Male,65,Returning,Personal
3415,Female,55,Returning,Personal
3416,Male,9,Returning,Personal
3417,Male,53,Returning,Personal
3418,Male,7,Returning,Personal
3419,Female,49,Returning,Personal
3420,Female,47,Returning,Personal
3421,Female,24,Returning,Personal
3422,Female,68,Returning,Personal
3423,Male,27,Returning,Personal
3424,Male,36,Returning,Personal
3425,Male,58,Returning,Personal
3426,Male,70,Returning,Personal
3427,Female,61,Returning,Personal
3428,Female,70,Returning,Personal
3429,Male,41,Returning,Personal
3430,Female,50,Returning,Personal
3431,Female,57,Returning,Personal
3432,Male,48,Returning,Personal
3433,Male,7,Returning,Personal
3434,Female,57,Returning,Personal
3435,Female,36,Returning,Personal
3436,Female,55,Returning,Personal
3437,Female,62,Returning,Personal
3438,Male,10,Returning,Personal
3439,Male,52,Returning,Personal
3440,Male,38,Returning,Personal
3441,Female,62,Returning,Personal
3442,Female,40,Returning,Personal
3443,Male,64,Returning,Personal
3444,Female,23,Returning,Personal
3445,Female,29,Returning,Personal
3446,Female,10,Returning,Personal
3447,Male,51,Returning,Personal
3448,Female,37,Returning,Personal
3449,Male,34,Returning,Personal
3450,Female,35,Returning,Personal
3451,Female,27,Returning,Personal
3452,Male,10,Returning,Personal
3453,Female,70,Returning,Business
3454,Female,26,First-time,Business
3455,Male,61,Returning,Business
3456,Male,67,Returning,Business
3457,Male,55,Returning,Business
3458,Female,58,First-time,Business
3459,Female,31,Returning,Business
3460,Female,60,Returning,Business
3461,Female,57,Returning,Business
3462,Male,62,Returning,Business
3463,Male,25,First-time,Business
3464,Male,40,Returning,Personal
3465,Male,36,Returning,Personal
3466,Male,18,Returning,Personal
3467,Female,12,Returning,Personal
3468,Female,64,Returning,Personal
3469,Female,61,Returning,Personal
3470,Male,17,Returning,Personal
3471,Female,18,Returning,Personal
3472,Female,57,Returning,Business
3473,Male,49,Returning,Business
3474,Female,53,Returning,Business
3475,Female,38,Returning,Business
3476,Female,30,First-time,Business
3477,Female,52,Returning,Business
3478,Female,20,Returning,Personal
3479,Male,60,Returning,Business
3480,Male,38,Returning,Business
3481,Female,47,Returning,Business
3482,Male,53,Returning,Business
3483,Male,38,Returning,Business
3484,Female,31,First-time,Business
3485,Female,39,Returning,Business
3486,Male,40,Returning,Business
3487,Male,30,First-time,Business
3488,Female,45,Returning,Business
3489,Male,50,Returning,Business
3490,Male,26,First-time,Business
3491,Female,58,Returning,Business
3492,Male,46,Returning,Business
3493,Male,12,Returning,Personal
3494,Female,40,Returning,Personal
3495,Female,32,Returning,Personal
3496,Female,31,Returning,Personal
3497,Female,26,Returning,Personal
3498,Female,14,Returning,Personal
3499,Male,69,Returning,Personal
3500,Male,30,Returning,Personal
3501,Female,70,Returning,Personal
3502,Male,7,Returning,Personal
3503,Male,12,Returning,Personal
3504,Male,64,Returning,Business
3505,Female,7,Returning,Personal
3506,Female,46,Returning,Business
3507,Female,23,First-time,Business
3508,Female,51,Returning,Business
3509,Female,13,Returning,Personal
3510,Male,56,Returning,Personal
3511,Female,52,Returning,Business
3512,Male,45,Returning,Business
3513,Female,59,Returning,Business
3514,Male,55,Returning,Business
3515,Male,54,Returning,Business
3516,Female,32,Returning,Business
3517,Female,49,Returning,Business
3518,Male,43,Returning,Business
3519,Female,42,Returning,Business
3520,Female,43,Returning,Business
3521,Male,21,Returning,Business
3522,Female,49,Returning,Business
3523,Male,46,Returning,Business
3524,Male,57,Returning,Business
3525,Female,31,Returning,Business
3526,Male,60,Returning,Business
3527,Male,23,Returning,Business
3528,Female,7,First-time,Business
3529,Female,58,Returning,Business
3530,Male,22,Returning,Business
3531,Female,46,Returning,Business
3532,Female,38,Returning,Business
3533,Female,46,Returning,Personal
3534,Male,61,Returning,Personal
3535,Female,55,Returning,Personal
3536,Female,59,Returning,Personal
3537,Female,25,Returning,Personal
3538,Male,22,Returning,Personal
3539,Male,13,Returning,Personal
3540,Female,36,First-time,Business
3541,Male,52,Returning,Business
3542,Male,72,First-time,Business
3543,Male,38,First-time,Business
3544,Male,61,Returning,Personal
3545,Male,42,Returning,Business
3546,Female,55,Returning,Business
3547,Female,38,First-time,Business
3548,Female,57,Returning,Business
3549,Female,50,Returning,Business
3550,Female,45,Returning,Business
3551,Male,51,Returning,Business
3552,Female,58,Returning,Business
3553,Female,24,First-time,Business
3554,Male,40,Returning,Business
3555,Male,43,Returning,Business
3556,Male,39,Returning,Business
3557,Female,22,First-time,Business
3558,Female,39,First-time,Business
3559,Male,21,First-time,Business
3560,Male,44,First-time,Business
3561,Female,41,Returning,Business
3562,Male,42,Returning,Business
3563,Female,24,First-time,Business
3564,Female,47,Returning,Business
3565,Female,44,Returning,Business
3566,Female,26,First-time,Business
3567,Male,30,Returning,Personal
3568,Female,19,Returning,Personal
3569,Male,45,Returning,Personal
3570,Female,26,Returning,Personal
3571,Female,54,Returning,Personal
3572,Male,44,Returning,Personal
3573,Male,49,Returning,Personal
3574,Male,40,Returning,Personal
3575,Male,46,Returning,Personal
3576,Female,56,Returning,Personal
3577,Male,58,Returning,Business
3578,Male,39,Returning,Business
3579,Male,34,Returning,Personal
3580,Male,34,Returning,Personal
3581,Male,60,Returning,Personal
3582,Female,8,Returning,Personal
3583,Male,43,Returning,Business
3584,Female,48,Returning,Business
3585,Female,30,First-time,Business
3586,Female,50,Returning,Business
3587,Male,42,Returning,Business
3588,Female,56,Returning,Business
3589,Male,29,Returning,Business
3590,Male,28,Returning,Business
3591,Male,58,Returning,Business
3592,Female,45,Returning,Business
3593,Male,11,First-time,Business
3594,Female,31,Returning,Business
3595,Male,26,Returning,Business
3596,Female,41,Returning,Business
3597,Female,62,Returning,Business
3598,Male,54,Returning,Business
3599,Male,41,Returning,Business
3600,Female,26,First-time,Business
3601,Male,68,Returning,Business
3602,Male,21,Returning,Personal
3603,Male,25,Returning,Personal
3604,Male,23,Returning,Personal
3605,Male,63,Returning,Personal
3606,Female,56,Returning,Personal
3607,Female,42,Returning,Personal
3608,Female,54,Returning,Personal
3609,Male,22,Returning,Personal
3610,Female,62,Returning,Business
3611,Male,59,Returning,Personal
3612,Male,58,Returning,Business
3613,Male,60,Returning,Business
3614,Female,56,Returning,Business
3615,Male,52,Returning,Business
3616,Male,47,Returning,Business
3617,Female,28,Returning,Business
3618,Male,39,First-time,Business
3619,Male,51,Returning,Business
3620,Female,59,Returning,Business
3621,Female,20,Returning,Personal
3622,Male,46,Returning,Personal
3623,Female,18,Returning,Personal
3624,Female,42,Returning,Personal
3625,Female,42,First-time,Business
3626,Female,19,First-time,Business
3627,Male,44,Returning,Business
3628,Male,58,Returning,Business
3629,Female,21,First-time,Business
3630,Male,33,Returning,Business
3631,Male,58,Returning,Business
3632,Female,46,Returning,Business
3633,Female,37,Returning,Business
3634,Female,23,First-time,Business
3635,Female,55,Returning,Business
3636,Male,40,First-time,Business
3637,Male,72,Returning,Business
3638,Male,35,Returning,Business
3639,Male,44,Returning,Business
3640,Male,56,Returning,Business
3641,Female,46,Returning,Business
3642,Male,54,Returning,Business
3643,Male,61,Returning,Business
3644,Male,43,Returning,Business
3645,Female,51,Returning,Business
3646,Male,38,Returning,Business
3647,Male,43,Returning,Business
3648,Female,23,First-time,Business
3649,Female,45,Returning,Business
3650,Female,37,Returning,Business
3651,Male,54,Returning,Business
3652,Male,23,First-time,Business
3653,Male,42,Returning,Business
3654,Male,41,Returning,Business
3655,Male,57,Returning,Business
3656,Male,39,First-time,Business
3657,Male,42,Returning,Business
3658,Female,45,Returning,Business
3659,Female,37,First-time,Business
3660,Male,25,First-time,Business
3661,Male,49,Returning,Business
3662,Female,47,Returning,Business
3663,Male,53,Returning,Business
3664,Male,23,First-time,Business
3665,Male,51,Returning,Business
3666,Female,45,Returning,Business
3667,Female,24,First-time,Business
3668,Male,65,Returning,Business
3669,Female,30,Returning,Business
3670,Female,34,First-time,Business
3671,Female,43,Returning,Business
3672,Male,45,Returning,Business
3673,Female,24,First-time,Business
3674,Male,33,First-time,Business
3675,Male,20,First-time,Business
3676,Female,42,First-time,Business
3677,Female,57,Returning,Business
3678,Male,36,Returning,Business
3679,Female,52,Returning,Business
3680,Female,22,First-time,Business
3681,Female,37,Returning,Business
3682,Male,16,Returning,Business
3683,Female,56,Returning,Business
3684,Male,56,Returning,Business
3685,Male,50,Returning,Business
3686,Female,53,Returning,Business
3687,Male,34,First-time,Business
3688,Male,60,Returning,Business
3689,Female,59,Returning,Business
3690,Male,22,Returning,Business
3691,Female,46,Returning,Business
3692,Male,37,Returning,Business
3693,Female,33,First-time,Business
3694,Female,60,Returning,Business
3695,Male,53,Returning,Business
3696,Female,60,Returning,Business
3697,Female,31,Returning,Business
3698,Male,39,First-time,Business
3699,Female,36,Returning,Business
3700,Male,68,Returning,Business
3701,Female,17,First-time,Business
3702,Male,44,Returning,Personal
3703,Male,50,Returning,Personal
3704,Male,51,Returning,Personal
3705,Female,37,Returning,Personal
3706,Male,17,Returning,Personal
3707,Female,50,Returning,Personal
3708,Female,41,Returning,Personal
3709,Male,13,Returning,Personal
3710,Female,33,Returning,Personal
3711,Male,9,Returning,Personal
3712,Male,60,Returning,Personal
3713,Male,47,Returning,Personal
3714,Female,8,Returning,Personal
3715,Female,42,Returning,Personal
3716,Female,24,Returning,Personal
3717,Female,62,Returning,Personal
3718,Female,28,Returning,Personal
3719,Female,14,Returning,Personal
3720,Female,24,Returning,Personal
3721,Male,16,Returning,Personal
3722,Female,17,Returning,Personal
3723,Female,41,Returning,Personal
3724,Male,29,Returning,Personal
3725,Male,53,Returning,Personal
3726,Male,36,Returning,Personal
3727,Male,24,Returning,Personal
3728,Male,65,Returning,Personal
3729,Female,49,Returning,Personal
3730,Female,10,Returning,Personal
3731,Female,32,Returning,Personal
3732,Female,45,Returning,Personal
3733,Male,70,Returning,Personal
3734,Female,12,Returning,Personal
3735,Male,11,Returning,Personal
3736,Male,10,Returning,Personal
3737,Female,51,Returning,Personal
3738,Male,40,Returning,Personal
3739,Male,66,Returning,Personal
3740,Male,66,Returning,Personal
3741,Male,48,Returning,Personal
3742,Female,41,Returning,Personal
3743,Female,28,Returning,Personal
3744,Male,24,Returning,Personal
3745,Female,43,Returning,Personal
3746,Female,8,Returning,Personal
3747,Male,42,Returning,Business
3748,Female,57,Returning,Business
3749,Female,23,Returning,Business
3750,Female,22,First-time,Business
3751,Male,47,Returning,Business
3752,Female,38,Returning,Business
3753,Male,17,Returning,Personal
3754,Female,33,Returning,Personal
3755,Male,66,Returning,Personal
3756,Female,11,Returning,Personal
3757,Female,57,Returning,Personal
3758,Male,35,Returning,Personal
3759,Female,57,Returning,Personal
3760,Male,58,Returning,Business
3761,Male,31,Returning,Business
3762,Female,48,Returning,Business
3763,Male,24,Returning,Business
3764,Female,55,Returning,Business
3765,Male,40,Returning,Personal
3766,Male,32,Returning,Personal
3767,Male,47,Returning,Business
3768,Male,53,Returning,Business
3769,Male,51,Returning,Business
3770,Male,45,First-time,Business
3771,Male,59,Returning,Business
3772,Male,47,Returning,Business
3773,Female,45,Returning,Business
3774,Female,59,Returning,Business
3775,Female,48,Returning,Business
3776,Male,23,First-time,Business
3777,Male,53,Returning,Business
3778,Female,22,Returning,Business
3779,Male,39,Returning,Business
3780,Male,41,Returning,Business
3781,Male,59,Returning,Business
3782,Male,42,Returning,Business
3783,Male,53,Returning,Business
3784,Female,50,Returning,Business
3785,Female,60,Returning,Business
3786,Female,36,First-time,Business
3787,Male,22,Returning,Business
3788,Female,37,First-time,Business
3789,Male,39,First-time,Business
3790,Male,37,Returning,Personal
3791,Female,57,Returning,Personal
3792,Female,58,Returning,Personal
3793,Female,27,Returning,Personal
3794,Female,40,Returning,Business
3795,Male,40,Returning,Business
3796,Female,28,First-time,Business
3797,Female,16,Returning,Personal
3798,Female,15,Returning,Personal
3799,Female,46,Returning,Business
3800,Female,36,Returning,Business
3801,Male,42,First-time,Business
3802,Male,50,First-time,Business
3803,Male,48,First-time,Business
3804,Male,44,Returning,Business
3805,Male,49,Returning,Business
3806,Female,57,Returning,Business
3807,Male,29,Returning,Business
3808,Female,45,Returning,Business
3809,Male,47,Returning,Business
3810,Male,22,First-time,Business
3811,Female,40,Returning,Business
3812,Male,54,Returning,Business
3813,Female,38,First-time,Business
3814,Female,46,Returning,Business
3815,Female,25,First-time,Business
3816,Male,29,First-time,Business
3817,Male,51,Returning,Business
3818,Female,36,First-time,Business
3819,Female,50,First-time,Business
3820,Male,49,Returning,Business
3821,Female,23,First-time,Business
3822,Female,41,Returning,Business
3823,Male,43,Returning,Business
3824,Female,77,Returning,Business
3825,Male,54,Returning,Business
3826,Female,34,First-time,Business
3827,Male,26,First-time,Business
3828,Male,22,Returning,Business
3829,Female,31,Returning,Business
3830,Female,67,Returning,Business
3831,Male,30,First-time,Business
3832,Female,18,Returning,Business
3833,Male,56,Returning,Business
3834,Male,33,Returning,Personal
3835,Male,59,Returning,Personal
3836,Female,66,Returning,Personal
3837,Female,16,Returning,Personal
3838,Female,53,Returning,Personal
3839,Male,21,Returning,Personal
3840,Male,31,Returning,Personal
3841,Male,32,Returning,Personal
3842,Male,64,Returning,Personal
3843,Female,19,Returning,Personal
3844,Male,22,Returning,Personal
3845,Male,25,Returning,Personal
3846,Male,36,Returning,Personal
3847,Female,17,Returning,Personal
3848,Female,39,Returning,Personal
3849,Female,14,Returning,Personal
3850,Male,35,Returning,Personal
3851,Female,11,Returning,Personal
3852,Male,32,Returning,Personal
3853,Male,55,Returning,Personal
3854,Male,53,Returning,Personal
3855,Female,18,Returning,Personal
3856,Female,48,Returning,Business
3857,Female,11,Returning,Personal
3858,Male,7,Returning,Personal
3859,Female,31,Returning,Personal
3860,Female,43,Returning,Business
3861,Female,47,Returning,Business
3862,Male,21,Returning,Business
3863,Female,56,Returning,Business
3864,Male,33,Returning,Personal
3865,Female,45,Returning,Personal
3866,Male,15,Returning,Personal
3867,Male,37,Returning,Personal
3868,Male,41,Returning,Business
3869,Female,37,Returning,Business
3870,Female,57,Returning,Business
3871,Male,39,Returning,Business
3872,Male,58,Returning,Business
3873,Male,31,Returning,Business
3874,Male,37,First-time,Business
3875,Female,44,Returning,Business
3876,Male,39,Returning,Business
3877,Female,37,Returning,Business
3878,Female,54,Returning,Business
3879,Female,61,Returning,Business
3880,Male,21,First-time,Business
3881,Male,57,Returning,Business
3882,Male,42,Returning,Business
3883,Male,46,Returning,Business
3884,Female,40,First-time,Business
3885,Female,46,Returning,Business
3886,Female,46,Returning,Business
3887,Female,58,Returning,Business
3888,Female,40,First-time,Business
3889,Female,62,Returning,Business
3890,Female,72,Returning,Business
3891,Female,40,Returning,Business
3892,Female,27,First-time,Business
3893,Male,38,First-time,Business
3894,Female,24,First-time,Business
3895,Female,57,Returning,Business
3896,Male,45,Returning,Business
3897,Male,60,Returning,Business
3898,Female,50,Returning,Business
3899,Female,56,First-time,Business
3900,Male,30,Returning,Personal
3901,Male,25,Returning,Personal
3902,Male,31,Returning,Personal
3903,Female,64,Returning,Personal
3904,Female,46,Returning,Personal
3905,Female,63,Returning,Personal
3906,Male,10,Returning,Personal
3907,Female,26,Returning,Personal
3908,Female,27,Returning,Personal
3909,Male,44,Returning,Personal
3910,Male,63,Returning,Personal
3911,Male,10,Returning,Personal
3912,Male,15,Returning,Personal
3913,Female,62,Returning,Personal
3914,Female,8,Returning,Personal
3915,Female,55,Returning,Personal
3916,Female,30,Returning,Personal
3917,Female,35,Returning,Personal
3918,Female,40,Returning,Personal
3919,Female,9,Returning,Personal
3920,Male,9,Returning,Personal
3921,Female,22,Returning,Personal
3922,Female,29,Returning,Personal
3923,Male,44,Returning,Personal
3924,Female,67,Returning,Personal
3925,Male,14,Returning,Personal
3926,Male,44,Returning,Business
3927,Female,63,Returning,Personal
3928,Male,55,Returning,Personal
3929,Male,7,Returning,Personal
3930,Male,25,Returning,Personal
3931,Female,48,Returning,Business
3932,Female,18,Returning,Business
3933,Female,22,Returning,Business
3934,Female,45,Returning,Business
3935,Male,46,Returning,Personal
3936,Male,45,Returning,Business
3937,Male,41,Returning,Business
3938,Male,60,Returning,Business
3939,Male,38,Returning,Business
3940,Male,59,Returning,Business
3941,Female,26,Returning,Business
3942,Female,20,First-time,Business
3943,Male,38,Returning,Business
3944,Male,31,Returning,Business
3945,Male,25,First-time,Business
3946,Male,41,Returning,Business
3947,Female,37,Returning,Business
3948,Male,57,Returning,Business
3949,Male,27,First-time,Business
3950,Female,16,Returning,Business
3951,Male,28,Returning,Business
3952,Female,35,Returning,Business
3953,Male,36,Returning,Business
3954,Female,24,First-time,Business
3955,Female,59,Returning,Business
3956,Male,24,Returning,Business
3957,Male,44,Returning,Business
3958,Female,60,Returning,Personal
3959,Female,58,Returning,Personal
3960,Male,66,Returning,Personal
3961,Male,43,Returning,Personal
3962,Female,42,Returning,Personal
3963,Female,40,Returning,Personal
3964,Male,34,Returning,Personal
3965,Male,32,Returning,Personal
3966,Female,24,Returning,Personal
3967,Male,12,Returning,Personal
3968,Female,30,Returning,Personal
3969,Male,32,Returning,Personal
3970,Male,45,Returning,Business
3971,Female,28,Returning,Business
3972,Male,27,Returning,Business
3973,Female,53,Returning,Personal
3974,Female,70,Returning,Personal
3975,Female,10,Returning,Personal
3976,Female,51,Returning,Business
3977,Female,47,Returning,Business
3978,Male,30,Returning,Business
3979,Female,24,Returning,Business
3980,Female,42,Returning,Business
3981,Female,23,Returning,Business
3982,Female,23,Returning,Personal
3983,Male,47,Returning,Personal
3984,Female,50,Returning,Business
3985,Male,50,Returning,Business
3986,Male,46,Returning,Business
3987,Female,49,Returning,Business
3988,Female,50,Returning,Business
3989,Male,20,Returning,Personal
3990,Male,14,Returning,Personal
3991,Male,33,Returning,Personal
3992,Female,50,Returning,Business
3993,Male,57,Returning,Business
3994,Female,44,Returning,Business
3995,Male,34,Returning,Business
3996,Male,40,Returning,Business
3997,Female,58,First-time,Business
3998,Male,37,Returning,Business
3999,Female,43,Returning,Business
4000,Female,59,First-time,Business
4001,Male,53,Returning,Business
4002,Female,52,Returning,Business
4003,Female,59,Returning,Business
4004,Male,49,Returning,Business
4005,Male,60,Returning,Business
4006,Male,58,First-time,Business
4007,Female,55,Returning,Business
4008,Female,65,Returning,Business
4009,Female,48,Returning,Business
4010,Female,36,Returning,Business
4011,Male,33,First-time,Business
4012,Female,50,Returning,Business
4013,Female,23,First-time,Business
4014,Male,25,First-time,Business
4015,Male,60,Returning,Business
4016,Male,44,Returning,Business
4017,Male,53,Returning,Business
4018,Female,60,Returning,Business
4019,Male,50,Returning,Business
4020,Female,46,Returning,Business
4021,Female,27,First-time,Business
4022,Female,23,First-time,Business
4023,Male,43,Returning,Business
4024,Male,51,Returning,Business
4025,Male,33,Returning,Business
4026,Female,22,First-time,Business
4027,Male,39,Returning,Business
4028,Female,51,Returning,Business
4029,Female,28,Returning,Business
4030,Male,58,Returning,Business
4031,Female,49,Returning,Business
4032,Female,47,First-time,Business
4033,Female,42,Returning,Business
4034,Female,37,Returning,Business
4035,Female,56,First-time,Business
4036,Female,48,Returning,Business
4037,Male,36,Returning,Business
4038,Female,16,First-time,Business
4039,Female,18,Returning,Business
4040,Male,16,First-time,Business
4041,Male,54,Returning,Business
4042,Female,18,First-time,Business
4043,Female,37,Returning,Business
4044,Female,23,First-time,Business
4045,Female,63,Returning,Personal
4046,Female,9,Returning,Personal
4047,Male,39,Returning,Personal
4048,Female,24,Returning,Personal
4049,Female,13,Returning,Personal
4050,Female,20,Returning,Personal
4051,Female,33,Returning,Personal
4052,Male,28,Returning,Personal
4053,Male,9,Returning,Personal
4054,Female,10,Returning,Personal
4055,Male,69,Returning,Personal
4056,Male,50,Returning,Personal
4057,Male,29,Returning,Personal
4058,Female,23,Returning,Personal
4059,Female,18,Returning,Personal
4060,Male,40,Returning,Personal
4061,Male,60,Returning,Personal
4062,Male,65,Returning,Personal
4063,Male,39,Returning,Personal
4064,Male,32,Returning,Personal
4065,Male,20,Returning,Personal
4066,Female,21,Returning,Personal
4067,Female,50,Returning,Personal
4068,Male,18,Returning,Personal
4069,Female,50,Returning,Business
4070,Female,22,First-time,Business
4071,Male,34,Returning,Business
4072,Male,51,Returning,Personal
4073,Male,64,Returning,Personal
4074,Male,62,Returning,Personal
4075,Male,56,Returning,Business
4076,Female,44,Returning,Business
4077,Male,23,First-time,Business
4078,Male,58,Returning,Business
4079,Female,11,First-time,Business
4080,Female,40,First-time,Business
4081,Female,50,Returning,Business
4082,Male,38,First-time,Business
4083,Male,58,Returning,Business
4084,Male,40,Returning,Business
4085,Female,40,First-time,Business
4086,Male,25,First-time,Business
4087,Female,27,First-time,Business
4088,Male,66,Returning,Personal
4089,Male,22,Returning,Personal
4090,Female,38,Returning,Personal
4091,Female,60,Returning,Business
4092,Female,42,Returning,Business
4093,Male,48,Returning,Business
4094,Female,30,Returning,Business
4095,Male,54,Returning,Business
4096,Female,59,Returning,Business
4097,Female,42,Returning,Business
4098,Male,41,Returning,Business
4099,Male,39,Returning,Business
4100,Female,48,Returning,Business
4101,Male,44,Returning,Business
4102,Female,39,Returning,Business
4103,Female,44,Returning,Business
4104,Female,32,Returning,Business
4105,Female,24,Returning,Business
4106,Female,53,Returning,Business
4107,Female,48,Returning,Business
4108,Female,25,Returning,Business
4109,Male,53,Returning,Business
4110,Female,46,Returning,Business
4111,Male,59,Returning,Business
4112,Male,58,Returning,Business
4113,Male,26,First-time,Business
4114,Male,24,Returning,Business
4115,Male,55,Returning,Business
4116,Male,24,First-time,Business
4117,Male,50,Returning,Business
4118,Male,35,First-time,Business
4119,Female,26,First-time,Business
4120,Female,51,Returning,Business
4121,Male,41,Returning,Business
4122,Female,71,Returning,Business
4123,Female,37,First-time,Business
4124,Female,62,Returning,Business
4125,Female,40,Returning,Business
4126,Male,33,Returning,Business
4127,Female,20,First-time,Business
4128,Male,58,Returning,Business
4129,Female,40,Returning,Business
4130,Female,24,First-time,Business
4131,Male,43,Returning,Business
4132,Male,36,First-time,Business
4133,Female,62,Returning,Business
4134,Male,66,Returning,Business
4135,Male,42,Returning,Business
4136,Female,55,Returning,Business
4137,Female,23,First-time,Business
4138,Male,31,Returning,Business
4139,Female,27,Returning,Business
4140,Male,21,First-time,Business
4141,Female,24,Returning,Business
4142,Female,27,First-time,Business
4143,Male,43,Returning,Business
4144,Male,39,Returning,Business
4145,Male,44,First-time,Business
4146,Male,21,First-time,Business
4147,Male,52,Returning,Business
4148,Male,62,Returning,Business
4149,Male,39,Returning,Business
4150,Male,29,Returning,Business
4151,Female,46,Returning,Business
4152,Female,39,Returning,Business
4153,Female,36,First-time,Business
4154,Female,39,Returning,Business
4155,Male,26,First-time,Business
4156,Male,18,First-time,Business
4157,Female,58,Returning,Personal
4158,Female,31,Returning,Personal
4159,Male,12,Returning,Personal
4160,Male,25,Returning,Personal
4161,Male,28,Returning,Personal
4162,Male,19,Returning,Personal
4163,Male,17,Returning,Personal
4164,Female,12,Returning,Personal
4165,Male,40,Returning,Personal
4166,Male,50,Returning,Personal
4167,Female,52,Returning,Personal
4168,Male,19,Returning,Personal
4169,Male,17,Returning,Personal
4170,Female,16,Returning,Personal
4171,Female,53,Returning,Personal
4172,Male,65,Returning,Personal
4173,Female,23,Returning,Personal
4174,Female,35,Returning,Personal
4175,Male,56,Returning,Personal
4176,Male,70,Returning,Personal
4177,Male,53,Returning,Personal
4178,Female,22,Returning,Personal
4179,Male,64,Returning,Personal
4180,Male,27,Returning,Personal
4181,Female,18,Returning,Personal
4182,Male,39,Returning,Personal
4183,Male,57,Returning,Personal
4184,Male,47,Returning,Business
4185,Female,49,Returning,Business
4186,Female,62,Returning,Business
4187,Female,58,Returning,Business
4188,Female,38,First-time,Business
4189,Female,59,Returning,Business
4190,Male,31,Returning,Business
4191,Female,46,Returning,Business
4192,Female,26,First-time,Business
4193,Male,14,Returning,Business
4194,Male,50,Returning,Business
4195,Female,50,Returning,Business
4196,Female,50,Returning,Business
4197,Female,16,Returning,Personal
4198,Male,8,Returning,Personal
4199,Male,22,First-time,Business
4200,Male,24,First-time,Business
4201,Male,21,Returning,Business
4202,Female,59,Returning,Business
4203,Male,48,Returning,Business
4204,Male,30,First-time,Business
4205,Female,34,First-time,Business
4206,Female,8,Returning,Business
4207,Male,58,Returning,Business
4208,Female,24,First-time,Business
4209,Female,27,Returning,Business
4210,Female,50,Returning,Business
4211,Female,48,Returning,Business
4212,Male,62,Returning,Personal
4213,Female,67,Returning,Personal
4214,Female,29,Returning,Personal
4215,Male,19,Returning,Personal
4216,Male,30,Returning,Personal
4217,Male,40,Returning,Personal
4218,Male,52,Returning,Personal
4219,Female,31,Returning,Personal
4220,Male,61,Returning,Personal
4221,Male,15,First-time,Personal
4222,Male,31,Returning,Personal
4223,Male,28,Returning,Business
4224,Female,25,Returning,Business
4225,Female,23,Returning,Business
4226,Female,30,Returning,Business
4227,Female,56,Returning,Business
4228,Male,55,Returning,Business
4229,Male,51,Returning,Business
4230,Female,57,Returning,Business
4231,Male,28,Returning,Business
4232,Male,35,First-time,Business
4233,Female,47,Returning,Business
4234,Male,59,Returning,Business
4235,Male,25,Returning,Business
4236,Female,24,First-time,Business
4237,Male,33,Returning,Business
4238,Male,64,Returning,Business
4239,Female,9,First-time,Business
4240,Female,41,Returning,Business
4241,Female,48,Returning,Business
4242,Female,23,First-time,Business
4243,Male,41,Returning,Business
4244,Male,35,First-time,Business
4245,Male,10,Returning,Personal
4246,Female,28,Returning,Personal
4247,Male,22,Returning,Personal
4248,Male,55,Returning,Personal
4249,Male,49,Returning,Personal
4250,Male,19,Returning,Personal
